dish_name,rmse,mse
Tikka Kabab,1.0737202998371795,0.659447700946362
Morog polao without egg,21.812460748304076,3.491829339559976
Iftar package 01,4.246187700342974,1.318094478170206
Iftar package 2,24.55945180408479,8.867830312871314
Iftar package 03,2.303080841683651,0.6471945137366072
Iftar package 4,1.1321681666039929,0.31658795746889984
Iftar package 5,4.6687464978546025,1.579379575593131
Iftar package 6,6.295890377603067,2.2296071578929952
Malai Lacchi,0.0,0.0
Blueberry Lacchi,0.0,0.0
Apple juice,0.3699620357369181,0.04070700685699265
Grape Juice,0.08058229640253803,0.006493506493506494
Malta Juice,0.08073945517411067,0.006912310136022505
Papaya  Juice,0.05698028822981897,0.003246753246753247
Pineapple Juice,0.0,0.0
Raw Mango,0.24425406753455955,0.038301883168615304
Ripe Mango,0.12574500955832216,0.009960518037150432
Olive Juice,0.0,0.0
Rose Apple  Juice,0.05698028822981897,0.003246753246753247
Oreo Cold Coffee,0.08058229640253803,0.006493506493506494
KitKat Cold Coffee,0.05698028822981897,0.003246753246753247
Special Faluda,0.2262436386632031,0.03454084411360227
Fruit salada,0.0,0.0
